# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,fps: 1,"exported_by: ""dive:typescript""","exported_time: ""5/14/2026, 2:12:39 PM"""
1,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223137.115060_rgb.jpg,130,700,7606,748,7712,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence positive
2,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223147.763899_rgb.jpg,140,2171,7011,2275,7076,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely
3,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223646.824115_rgb.jpg,398,8733,7341,8820,7394,1,-1,ringed_seal,1,(trk-atr) age_class nonpup,(trk-atr) age_class_confidence positive,(trk-atr) species_confidence likely
4,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223922.353818_rgb.jpg,534,10329,8231,10491,8370,1,-1,false_positive,1
5,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224216.291918_rgb.jpg,687,3081,4266,3210,4402,1,-1,false_positive,1
6,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224458.921984_rgb.jpg,829,912,4970,1064,5180,1,-1,false_positive,1
7,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224637.587981_rgb.jpg,916,7760,2741,7919,2939,1,-1,false_positive,1
8,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224704.780545_rgb.jpg,940,6733,2782,6874,2954,1,-1,false_positive,1
9,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224916.114506_rgb.jpg,1057,3136,7584,3272,7746,1,-1,false_positive,1
10,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224919.431888_rgb.jpg,1060,3359,9790,3486,9956,1,-1,off_frame,1
11,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224921.645401_rgb.jpg,1062,8674,2159,8851,2346,1,-1,false_positive,1
12,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224949.385488_rgb.jpg,1087,6525,3324,6731,3499,1,-1,false_positive,1
13,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224954.924700_rgb.jpg,1092,6079,812,6258,907,1,-1,false_positive,1
